,Company_Name,Ticker,Number of Entries
231,ROSS STORES,ROST,1258
232,RED ROBIN GOURM,RRGB,1258
233,RUBY TUESDAY,RT,1258
234,RUSH ENTRPRS-A,RUSHA,1258
235,RUSH ENTERPRISE,RUSHB,1258
236,RUTHS HOSPITLTY,RUTH,1258
238,SONIC AUTOMOTVE,SAH,1258
239,DIVERSIFIED RST,SAUC,1258
240,SALLY BEAUTY CO,SBH,1258
241,STARBUCKS CORP,SBUX,1258
242,SHOE CARNIVAL,SCVL,1258
244,SEARS HLDG CP,SHLD,1258
246,SIGNET JEWELERS,SIG,1258
249,STEIN MART INC,SMRT,1258
250,SONIC CORP,SONC,1258
252,STAPLES INC,SPLS,1258
253,SPARTAN NASH CO,SPTN,1258
255,STAGE STORES,SSI,1258
256,STAMPS.COM INC,STMP,1258
257,STAR BUFFET,STRZ,1258
260,SYSTEMAX INC,SYX,1258
261,TRAVELCENTERS,TA,1258
262,TAITRON COMP-A,TAIT,1258
263,CARROLS RESTRNT,TAST,1258
264,TECH DATA CORP,TECD,1258
266,TARGET CORP,TGT,1258
267,TIFFANY & CO,TIF,1258
268,TITAN MACHINERY,TITN,1258
269,TJX COS INC NEW,TJX,1258
270,TANDY LEATHER,TLF,1258
272,TEMPUR SEALY,TPX,1258
274,TESCO PLC -ADR,TSCDY,1258
275,TRACTOR SUPPLY,TSCO,1258
278,TUESDAY MORNING,TUES,1258
280,TRANS WORLD ENT,TWMC,1258
281,TEXAS ROADHOUSE,TXRH,1258
282,TRAVELZOO INC,TZOO,1258
283,ULTA SALON COSM,ULTA,1258
284,URBAN OUTFITTER,URBN,1258
285,VILLAGE SPRMKT,VLGEA,1258
288,WALKING CO HLDG,WALK,1258
289,WALGREENS BAI,WBA,1258
290,WENDYS CO/THE,WEN,1258
291,WHOLE FOODS MKT,WFM,1258
292,G WILLI-FOOD,WILC,1258
293,WINMARK CORP,WINA,1258
294,WEIS MKTS INC,WMK,1258
295,WAL-MART MX-ADR,WMMVY,1258
296,WAL-MART STORES,WMT,1258
297,WILLIAMS-SONOMA,WSM,1258
298,WAYSIDE TECH GP,WSTG,1258
301,YOSEN GROUP INC,YOSN,1258
302,YUM! BRANDS INC,YUM,1258
303,ZUMIEZ INC,ZUMZ,1258
83,DRINKS AMERICAS,DKAM,1281
85,DELIAS INC,DLIAQ,1281
