Company Name,Ticker,Sector
FOOT LOCKER INC,FL,Retail-Wholesale
1800FLOWERS.COM,FLWS,Retail-Wholesale
FOGO DE CHAO,FOGO,Retail-Wholesale
FOSSIL GRP INC,FOSL,Retail-Wholesale
FREDS INC,FRED,Retail-Wholesale
FIESTA RESTRNT,FRGI,Retail-Wholesale
PAPA MURPHYS HL,FRSH,Retail-Wholesale
GRANITE CITY FD,GCFB,Retail-Wholesale
GENESCO INC,GCO,Retail-Wholesale
GEERLINGS&WADE,GEER,Retail-Wholesale
GIGGLES N HUGS,GIGL,Retail-Wholesale
GREENE KING PLC,GKNGY,Retail-Wholesale
GORDMANS STORES,GMAN,Retail-Wholesale
GAMESTOP CORP,GME,Retail-Wholesale
GOME ELEC APPL,GMELY,Retail-Wholesale
GMS INC,GMS,Retail-Wholesale
GNC HOLDINGS,GNC,Retail-Wholesale
GREEN POLKADOT,GPDB,Retail-Wholesale
GROUP 1 AUTO,GPI,Retail-Wholesale
GAP INC,GPS,Retail-Wholesale
ROADHOUSE GRILL,GRLL,Retail-Wholesale
GROUPON INC,GRPN,Retail-Wholesale
GSV INC,GSVI,Retail-Wholesale
GOOD TIMES REST,GTIM,Retail-Wholesale
GLACIER WTR SVS,GWSV,Retail-Wholesale
HABIT RESTRNTS,HABT,Retail-Wholesale
HUTTIG BLDG PRD,HBP,Retail-Wholesale
HOME DEPOT,HD,Retail-Wholesale
HHGREGG INC,HGG,Retail-Wholesale
HIBBET SPORTS,HIBB,Retail-Wholesale
HANCOCK FABRICS,HKFIQ,Retail-Wholesale
HERBALIFE LTD,HLF,Retail-Wholesale
ALMOST NVR FILM,HLWD,Retail-Wholesale
HENNES&MAURIT,HNNMY,Retail-Wholesale
AT HOME GRP INC,HOME,Retail-Wholesale
CHANTICLEER HLD,HOTR,Retail-Wholesale
HSN INC,HSNI,Retail-Wholesale
HAVERTY FURNIT,HVT,Retail-Wholesale
MARINEMAX INC,HZO,Retail-Wholesale
IAC/INTERACTIV,IAC,Retail-Wholesale
AMER REST PTNRS,ICTPU,Retail-Wholesale
INDUSTRIA DE DI,IDEXY,Retail-Wholesale
INGLES MARKET A,IMKTA,Retail-Wholesale
IGNITE RESTRNT,IRG,Retail-Wholesale
ITOCHU CORP,ITOCY,Retail-Wholesale
JACK IN THE BOX,JACK,Retail-Wholesale
J ALEXANDERS,JAX,Retail-Wholesale
PENNEY (JC) INC,JCP,Retail-Wholesale
JEWETT CAMERON,JCTCF,Retail-Wholesale
JD.COM INC-ADR,JD,Retail-Wholesale
J D WETHERSPOON,JDWPY,Retail-Wholesale
JAMBA INC,JMBA,Retail-Wholesale
JUMEI INTL-ADR,JMEI,Retail-Wholesale
JERONIMO MARTIN,JRONY,Retail-Wholesale
SAINSBURY(J)ADR,JSAIY,Retail-Wholesale
JUST EAT PLC,JSTTY,Retail-Wholesale
NORDSTROM INC,JWN,Retail-Wholesale
KAR AUCTION SVC,KAR,Retail-Wholesale
KATE SPADE&CO,KATE,Retail-Wholesale
KINDER HOLDING,KDRH,Retail-Wholesale
KINGFISHER -ADR,KGFHY,Retail-Wholesale
KINGOLD JEWELRY,KGJI,Retail-Wholesale
KIRKLANDS INC,KIRK,Retail-Wholesale
CARMAX GP (CC),KMX,Retail-Wholesale
KONA GRILL INC,KONA,Retail-Wholesale
KROGER CO,KR,Retail-Wholesale
KOHLS CORP,KSS,Retail-Wholesale
LITHIA MOTORS,LAD,Retail-Wholesale
LATITUDE 360,LATX,Retail-Wholesale
L BRANDS INC,LB,Retail-Wholesale
LANDS END INC,LE,Retail-Wholesale
